Q,A
Is there a way to contact the VILT partner?,"The partners can be reached at the following email address:
CloudThat Technologies: vasishta@cloudthat.com
Naresh iTechnologies:  onlinetraining@nareshit.com"
How do I register for the virtual instructor led training (VILT) course?,"The FutureSkills Prime platform is a gateway to our partner courses. The delivery of these courses takes place through instructor led mode virtually.
Once you have selected a course to enroll for, click the course card. Next, you can either click the Enroll button on the image or  ‘View More’ link in the description. It will lead you to the course registration section on the partner's web page. You can register for the course as per the instructions provided"
How do I register for the virtual instructor led training course?,"The FutureSkills Prime platform is a gateway to our partner courses. The delivery of these courses takes place through instructor led mode virtually.
Once you have selected a course to enroll for, click the course card. Next, you can either click the Enroll button on the image or  ‘View More’ link in the description. It will lead you to the course registration section on the partner's web page. You can register for the course as per the instructions provided"
How do I register for the VILT course?,"The FutureSkills Prime platform is a gateway to our partner courses. The delivery of these courses takes place through instructor led mode virtually.
Once you have selected a course to enroll for, click the course card. Next, you can either click the Enroll button on the image or  ‘View More’ link in the description. It will lead you to the course registration section on the partner's web page. You can register for the course as per the instructions provided"
How to regregister for the virtual instructor led training (VILT) course?,"The FutureSkills Prime platform is a gateway to our partner courses. The delivery of these courses takes place through instructor led mode virtually.
Once you have selected a course to enroll for, click the course card. Next, you can either click the Enroll button on the image or  ‘View More’ link in the description. It will lead you to the course registration section on the partner's web page. You can register for the course as per the instructions provided"
How to register for the virtual instructor led training course?,"The FutureSkills Prime platform is a gateway to our partner courses. The delivery of these courses takes place through instructor led mode virtually.
Once you have selected a course to enroll for, click the course card. Next, you can either click the Enroll button on the image or  ‘View More’ link in the description. It will lead you to the course registration section on the partner's web page. You can register for the course as per the instructions provided"
How to register for the VILT course?,"The FutureSkills Prime platform is a gateway to our partner courses. The delivery of these courses takes place through instructor led mode virtually.
Once you have selected a course to enroll for, click the course card. Next, you can either click the Enroll button on the image or  ‘View More’ link in the description. It will lead you to the course registration section on the partner's web page. You can register for the course as per the instructions provided"
Is there an option to attend Trial classes?,"If there are trial classes, the information will be with the Partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can we attend the trial classes?,"If there are trial classes, the information will be with the Partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Are there trial classes?,"If there are trial classes, the information will be with the Partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Is it possible to enrol in Trial classes?,"If there are trial classes, the information will be with the Partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Are trial classes provided?,"If there are trial classes, the information will be with the Partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can I register for Trial classes?,"If there are trial classes, the information will be with the Partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can we register for Trial classes?,"If there are trial classes, the information will be with the Partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Where do I pay the registration fees?,"The registration fee will be paid on the VILT Partner’s page. The course details including the registration link and fee is mentioned on the course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner."
How to pay the Registeration fee?,"The registration fee will be paid on the VILT Partner’s page. The course details including the registration link and fee is mentioned on the course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner."
How to register for the VILT?,"The registration fee will be paid on the VILT Partner’s page. The course details including the registration link and fee is mentioned on the course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner."
Where do we register for the VLIT?,"The registration fee will be paid on the VILT Partner’s page. The course details including the registration link and fee is mentioned on the course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner."
What is the Registration process of VLIT?,"The registration fee will be paid on the VILT Partner’s page. The course details including the registration link and fee is mentioned on the course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner."
Where should be the Registration fee paid?,"The registration fee will be paid on the VILT Partner’s page. The course details including the registration link and fee is mentioned on the course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner."
I want to register; where do I pay the fees?,"The registration fee will be paid on the VILT Partner’s page. The course details including the registration link and fee is mentioned on the course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner."
When is the next batch starting?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
When will the next batch training start?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What is the starting date of next batch?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
When is next batch training of VILT?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What happens if I miss my class? Can I reschedule or enroll myself in the next batch?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What happens if I miss my class? ,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can I reschedule or enroll myself in the next batch?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can I reschedule myself in the next batch in VILT?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What happens If I miss my VILT class?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What is the payment refund policy?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Is there any payment refund policy?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can I refund my payment?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can the payment ne refund?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What is the return policy for payments?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
How to refund the payment?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Payment refund policy?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can I pay the course fee in installments? ,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Is there any flexibility in course payment?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Can I pay the course fee in installments? / is there any flexibility in course payment?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What is the fee structure?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What is the flexibility in course payment?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Is Ccourse fee in installments allowed?,"The fee structure and refund policy are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Do you have any discounts/promotional offers on the course fees?,"The fee structure and discounts/ promotional offers are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Do you have any discounts offers on the course fees?,"The fee structure and discounts/ promotional offers are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Do you have any promotional offers on the course fees?,"The fee structure and discounts/ promotional offers are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
What are the available discounts on the course fee?,"The fee structure and discounts/ promotional offers are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Is there any discounts/promotional offers on the course fees?,"The fee structure and discounts/ promotional offers are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Is there any discounts on the course fees?,"The fee structure and discounts/ promotional offers are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Is there any promotional offers on the course fees?,"The fee structure and discounts/ promotional offers are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Do you have any discounts on the course fees?,"The fee structure and discounts/ promotional offers are decided by the partner. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner."
Do you have instructor led courses on a specific technology?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
What are the VILT courses available?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
What are the available instructor led courses available?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
What are the course provided by VILT?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
Do VILT provide courses on all the technologies?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
When will you have virtual instructor led courses available for other technologies?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
When will you start offering VILT courses for other technologies?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
When will you haveVITL courses available for other technologies?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
When will you start offering virtual instructor-led courses for other technologies?,"Currently, the platform has virtual instructor-led courses on Artificial Intelligence, Big Data Analytics and Web and Mobile development technology. More courses will be added soon."
Where are the virtual live instructor classes being conducted?,The Virtual Live Instructor led classes are conducted live on a virtual platform of the training provider. 
Where are the live VILT classes being conducted?,The Virtual Live Instructor led classes are conducted live on a virtual platform of the training provider. 
What platform is being used to conduct the VILT Classes?,The Virtual Live Instructor led classes are conducted live on a virtual platform of the training provider. 
What platform is used to conduct the virtual live instructor classes?,The Virtual Live Instructor led classes are conducted live on a virtual platform of the training provider. 
How do I enrol for an SSC NASSCOM assessment?,"SSC NASSCOM assessments are associated with some of the technology courses. You will see some locked cards within these course Pathways. These locked cards are the SSC NASSCOM Assessment cards. After completing these courses, the mock assessment cards will unlock. Completing the mock assessment will unlock the paid assessment card. After the card is unlocked, click the Enroll button to pay for your assessment and appear for it."
How do I enrol for a NASSCOM assessment?,"SSC NASSCOM assessments are associated with some of the technology courses. You will see some locked cards within these course Pathways. These locked cards are the SSC NASSCOM Assessment cards. After completing these courses, the mock assessment cards will unlock. Completing the mock assessment will unlock the paid assessment card. After the card is unlocked, click the Enroll button to pay for your assessment and appear for it."
How do I enrol for an NASSCOM assessment?,"SSC NASSCOM assessments are associated with some of the technology courses. You will see some locked cards within these course Pathways. These locked cards are the SSC NASSCOM Assessment cards. After completing these courses, the mock assessment cards will unlock. Completing the mock assessment will unlock the paid assessment card. After the card is unlocked, click the Enroll button to pay for your assessment and appear for it."
How to enrol for an NASSCOM assessment?,"SSC NASSCOM assessments are associated with some of the technology courses. You will see some locked cards within these course Pathways. These locked cards are the SSC NASSCOM Assessment cards. After completing these courses, the mock assessment cards will unlock. Completing the mock assessment will unlock the paid assessment card. After the card is unlocked, click the Enroll button to pay for your assessment and appear for it."
What is the enrollment process of a SSC NASSCOM assessment?,"SSC NASSCOM assessments are associated with some of the technology courses. You will see some locked cards within these course Pathways. These locked cards are the SSC NASSCOM Assessment cards. After completing these courses, the mock assessment cards will unlock. Completing the mock assessment will unlock the paid assessment card. After the card is unlocked, click the Enroll button to pay for your assessment and appear for it."
How to attend SSC NASSCOM assessment?,"SSC NASSCOM assessments are associated with some of the technology courses. You will see some locked cards within these course Pathways. These locked cards are the SSC NASSCOM Assessment cards. After completing these courses, the mock assessment cards will unlock. Completing the mock assessment will unlock the paid assessment card. After the card is unlocked, click the Enroll button to pay for your assessment and appear for it."
What is the price for an SSC NASSCOM assessment?,All SSC NASSCOM assessments are currently priced at Rs. 600 inclusive of all taxes.
What is the enrollment fee for an SSC NASSCOM assessment?,All SSC NASSCOM assessments are currently priced at Rs. 600 inclusive of all taxes.
What is the fee amount for an SSC NASSCOM assessment?,All SSC NASSCOM assessments are currently priced at Rs. 600 inclusive of all taxes.
Enrollment price for an SSC NASSCOM assessment?,All SSC NASSCOM assessments are currently priced at Rs. 600 inclusive of all taxes.
Fee for an NASSCOM assessment?,All SSC NASSCOM assessments are currently priced at Rs. 600 inclusive of all taxes.
What is the Assessment Pattern of NASSCOM assessment?,"Typically, each assessment will have 30-60 questions.The duration of the assessments will vary from  60 to 90 minutes.No, there is no time limit per question. There is only an overall duration.No, there are no negative marks for incorrect responses.The assessment will be conducted in an online mode."
What is the Assessment Pattern of SSC NASSCOM assessment?,"Typically, each assessment will have 30-60 questions.The duration of the assessments will vary from 60 to 90 minutes.No, there is no time limit per question. There is only an overall duration.No, there are no negative marks for incorrect responses.The assessment will be conducted in an online mode."
What is the Pattern of NASSCOM assessment?,"Typically, each assessment will have 30-60 questions.The duration of the assessments will vary from 60 to 90 minutes.No, there is no time limit per question. There is only an overall duration.No, there are no negative marks for incorrect responses.The assessment will be conducted in an online mode."
What is the Assessment Pattern?,"Typically, each assessment will have 30-60 questions.The duration of the assessments will vary from 60 to 90 minutes.No, there is no time limit per question. There is only an overall duration.No, there are no negative marks for incorrect responses.The assessment will be conducted in an online mode."
What is the number of questions in the SSC NASSCOM assessment?,"Typically, each assessment will have 30-60 questions."
What is the number of questions in the NASSCOM assessment?,"Typically, each assessment will have 30-60 questions."
What is the number of questions in the assessment?,"Typically, each assessment will have 30-60 questions."
Number of questions in the SSC NASSCOM assessment?,"Typically, each assessment will have 30-60 questions."
Nnumber of questions in the NASSCOM assessment?,"Typically, each assessment will have 30-60 questions."
Number of questions in the assessment?,"Typically, each assessment will have 30-60 questions."
How many questions does the NASSCOM assessment has?,"Typically, each assessment will have 30-60 questions."
How many questions does the assessment has?,"Typically, each assessment will have 30-60 questions."
What is the duration of the test?,The duration of the assessments will vary from  60 to 90 minutes.
What is the time duration of the test?,The duration of the assessments will vary from  60 to 90 minutes.
What is the duration of the assessment?,The duration of the assessments will vary from  60 to 90 minutes.
Time duration of the assessment?,The duration of the assessments will vary from  60 to 90 minutes.
Duration of the test?,The duration of the assessments will vary from  60 to 90 minutes.
Time duration of the test?,The duration of the assessments will vary from  60 to 90 minutes.
Is there a Time limit per question?,"No, there is no time limit per question. There is only an overall duration."
Does each question has a time limit?,"No, there is no time limit per question. There is only an overall duration."
There is a Time limit per question?,"No, there is no time limit per question. There is only an overall duration."
Time limit per question?,"No, there is no time limit per question. There is only an overall duration."
Time limit of each question?,"No, there is no time limit per question. There is only an overall duration."
Are there negative marks for an incorrect response?,"No, there are no negative marks for incorrect responses."
is there negative mark for an incorrect response?,"No, there are no negative marks for incorrect responses."
Negative marks for an incorrect response?,"No, there are no negative marks for incorrect responses."
Negative marks for an incorrect answer?,"No, there are no negative marks for incorrect responses."
Does an incorrect response have negative marking?,"No, there are no negative marks for incorrect responses."
What is the mode in which the assessment will be conducted?,The assessment will be conducted in an online mode.
Mode in which the assessment will be conducted?,The assessment will be conducted in an online mode.
Mode of assessment?,The assessment will be conducted in an online mode.
In which mode the assessment will be conducted?,The assessment will be conducted in an online mode.
The assessment will be conducted in online or offline mode?,The assessment will be conducted in an online mode.
The assessment will be conducted in offline or online mode?,The assessment will be conducted in an online mode.
Is the mode of assessment is online or offline?,The assessment will be conducted in an online mode.
"After payment, where can I take the assessment?","After you have successfully paid the assessment fees, a ‘Start Assessment’ button will  appear. Click this button to go to the test platform to initiate your assessment."
"After completion of payment process, where can I take the assessment?","After you have successfully paid the assessment fees, a ‘Start Assessment’ button will appear. Click this button to go to the test platform to initiate your assessment."
Where can I take the assessment after completing the payment process ?,"After you have successfully paid the assessment fees, a ‘Start Assessment’ button will appear. Click this button to go to the test platform to initiate your assessment."
Where can I take the assessment?,"After you have successfully paid the assessment fees, a ‘Start Assessment’ button will appear. Click this button to go to the test platform to initiate your assessment."
How can I take the assessment after completing the payment process ?,"After you have successfully paid the assessment fees, a ‘Start Assessment’ button will appear. Click this button to go to the test platform to initiate your assessment."
How to attend SSC NASSCOM assessment?,"After you have successfully paid the assessment fees, a ‘Start Assessment’ button will appear. Click this button to go to the test platform to initiate your assessment."
How to attend the assessment?,"After you have successfully paid the assessment fees, a ‘Start Assessment’ button will appear. Click this button to go to the test platform to initiate your assessment."
What is the validity / access period of the assessment?,"Post purchase, you can take the assessment within 90 days. After that the link to the assessment will expire."
What is the validity of the assessment?,"Post purchase, you can take the assessment within 90 days. After that the link to the assessment will expire."
What is the access period of the assessment?,"Post purchase, you can take the assessment within 90 days. After that the link to the assessment will expire."
Validity of the assessment?,"Post purchase, you can take the assessment within 90 days. After that the link to the assessment will expire."
Access period of the assessment?,"Post purchase, you can take the assessment within 90 days. After that the link to the assessment will expire."
What is the valid access period of the assessment?,"Post purchase, you can take the assessment within 90 days. After that the link to the assessment will expire."
How can I Re-attempt/rebook an assessment?,The functionality to rebook an assessment will be available on the Future Skills Prime platform shortly. You will be notified via email once this is available.
How can I Re-attempt an assessment?,The functionality to rebook an assessment will be available on the Future Skills Prime platform shortly. You will be notified via email once this is available.
How can I re-attempt an assessment?,The functionality to rebook an assessment will be available on the Future Skills Prime platform shortly. You will be notified via email once this is available.
How can I rebook an assessment?,The functionality to rebook an assessment will be available on the Future Skills Prime platform shortly. You will be notified via email once this is available.
How to rebook an assessment?,The functionality to rebook an assessment will be available on the Future Skills Prime platform shortly. You will be notified via email once this is available.
How to re-attempt an assessment?,The functionality to rebook an assessment will be available on the Future Skills Prime platform shortly. You will be notified via email once this is available.
My assessment has expired. Will I get a refund?,"You are required to appear for an assessment within 90 days of making the payment. In case the link expires, the fees will not be refunded."
If my assessment got expired will I get a refund?,"You are required to appear for an assessment within 90 days of making the payment. In case the link expires, the fees will not be refunded."
How to get my refund if my assessment got expired?,"You are required to appear for an assessment within 90 days of making the payment. In case the link expires, the fees will not be refunded."
Will I get my refund as my assessment got expired?,"You are required to appear for an assessment within 90 days of making the payment. In case the link expires, the fees will not be refunded."
Will I get a refund as my access period of assessment ended?,"You are required to appear for an assessment within 90 days of making the payment. In case the link expires, the fees will not be refunded."
Is the assessment fee refundable?,Future Skills Prime currently does not support refund or cancellation for any assessments purchased.
How to get my refund fee?,Future Skills Prime currently does not support refund or cancellation for any assessments purchased.
How to get refund of my assessment fee?,Future Skills Prime currently does not support refund or cancellation for any assessments purchased.
Is there any option to get refund of my assessment fee?,Future Skills Prime currently does not support refund or cancellation for any assessments purchased.
Where is my Skills Passport?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click on “Skills Passport” to access your learning analytics, badges etc. "
Where can I get my Skills Passport?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click on “Skills Passport” to access your learning analytics, badges etc. "
Where is my skills Passport?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click on “Skills Passport” to access your learning analytics, badges etc. "
Where can I locate my Skills Passport?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click on “Skills Passport” to access your learning analytics, badges etc. "
I had started a course/pathway. Where can I access it from?,"1.To access all your in-progress courses or Pathways:
2.Click “My Learning” on the navigation bar, next to the Home tab.
3.Next click on “IN PROGRESS” tab on the page displayed to access your course/pathway."
I had started a course. Where can I access it from?,"1.To access all your in-progress courses or Pathways:
2.Click “My Learning” on the navigation bar, next to the Home tab.
3.Next click on “IN PROGRESS” tab on the page displayed to access your course/pathway."
I had started a pathway. Where can I access it from?,"1.To access all your in-progress courses or Pathways:
2.Click “My Learning” on the navigation bar, next to the Home tab.
3.Next click on “IN PROGRESS” tab on the page displayed to access your course/pathway."
Where can I access my learning course ?,"1.To access all your in-progress courses or Pathways:
2.Click “My Learning” on the navigation bar, next to the Home tab.
3.Next click on “IN PROGRESS” tab on the page displayed to access your course/pathway."
Where can I access my already started course ?,"1.To access all your in-progress courses or Pathways:
2.Click “My Learning” on the navigation bar, next to the Home tab.
3.Next click on “IN PROGRESS” tab on the page displayed to access your course/pathway."
Where can I access my course which I already started?,"1.To access all your in-progress courses or Pathways:
2.Click “My Learning” on the navigation bar, next to the Home tab.
3.Next click on “IN PROGRESS” tab on the page displayed to access your course/pathway."
Where can I resume my course ?,"1.To access all your in-progress courses or Pathways:
2.Click “My Learning” on the navigation bar, next to the Home tab.
3.Next click on “IN PROGRESS” tab on the page displayed to access your course/pathway."
How do I complete a SmartCard?,"Once you have finished going through the content on a SmartCard (such as watching the video, reading the article etc.), at the bottom right of the card click the “Mark as Complete” button."
How to complete a SmartCard?,"Once you have finished going through the content on a SmartCard (such as watching the video, reading the article etc.), at the bottom right of the card click the “Mark as Complete” button."
How to finish a SmartCard?,"Once you have finished going through the content on a SmartCard (such as watching the video, reading the article etc.), at the bottom right of the card click the “Mark as Complete” button."
How do I finish a SmartCard?,"Once you have finished going through the content on a SmartCard (such as watching the video, reading the article etc.), at the bottom right of the card click the “Mark as Complete” button."
How do I complete my SmartCard?,"Once you have finished going through the content on a SmartCard (such as watching the video, reading the article etc.), at the bottom right of the card click the “Mark as Complete” button."
Where can I see all the content I have completed till now?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click Content.
3.In the page displayed, click on “Completed”. 
Here you can review all SmartCards, Pathways and courses you have completed till now. "
Where can I see my completed contents?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click Content.
3.In the page displayed, click on “Completed”. 
Here you can review all SmartCards, Pathways and courses you have completed till now. "
Where can I see all the content those I have completed?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click Content.
3.In the page displayed, click on “Completed”. 
Here you can review all SmartCards, Pathways and courses you have completed till now. "
Where can I see my completed courses?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click Content.
3.In the page displayed, click on “Completed”. 
Here you can review all SmartCards, Pathways and courses you have completed till now. "
Where can I see all the courses those I have completed?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click Content.
3.In the page displayed, click on “Completed”. 
Here you can review all SmartCards, Pathways and courses you have completed till now. "
Where can I see my completed courses?,"1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click Content.
3.In the page displayed, click on “Completed”. 
Here you can review all SmartCards, Pathways and courses you have completed till now. "
What are Learning Goals and How do I change my learning goals?,"Learning Goals (or Learner Interests) are topics which you are specifically interested in and would like to either become aware of or improve your current competency levels. Based on your choices, the platform will make relevant content recommendations in your Feed. To enable / edit your learning goals: 
1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click on “Skills Passport”.  
In the page displayed, click the “pencil icon” next to Interests.
Update Your Learning Goals pop-up will be displayed. Here, you can update or remove your learning goals. "
How do I change my learning goals?,"Learning Goals (or Learner Interests) are topics which you are specifically interested in and would like to either become aware of or improve your current competency levels. Based on your choices, the platform will make relevant content recommendations in your Feed. To enable / edit your learning goals: 
1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click on “Skills Passport”.  
In the page displayed, click the “pencil icon” next to Interests.
Update Your Learning Goals pop-up will be displayed. Here, you can update or remove your learning goals. "
